Caduceus version         : 1.00
Caduceus compilation date: Mon Nov 27 17:38:17 CET 2006
Bench execution date     : 29/11/2006
  abs.c... GCC ok... caduceus ok... 
  alias.c... GCC ok... caduceus ok... 
  all.c... GCC ok... caduceus ok... 
  all_zeros.c... GCC ok... caduceus ok... 
  alloc.c... GCC ok... caduceus ok... 
  alloca.c... GCC ok... caduceus ok... 
  arith.c... GCC ok... caduceus ok... 
  array.c... GCC ok... caduceus ok... 
  assigns.c... GCC ok... caduceus ok... 
  assigns_range.c... GCC ok... caduceus ok... 
  break.c... GCC ok... caduceus ok... 
  bug.c... GCC ok... caduceus ok... 
  bug2.c... GCC ok... caduceus ok... 
  call.c... GCC ok... caduceus ok... 
  calloc.c... GCC ok... caduceus ok... 
  clash.c... GCC ok... caduceus ok... 
  clash_alloc.c... GCC ok... caduceus ok... 
  clash_redef.c... GCC ok... caduceus ok... 
  conflict.c... GCC ok... caduceus ok... 
  const.c... GCC ok... caduceus ok... 
  consts.c... GCC ok... caduceus ok... 
  continue.c... GCC ok... caduceus ok... 
  coord.c... GCC ok... caduceus ok... 
  copy.c... GCC ok... caduceus ok... 
  dassault_1.c... GCC ok... caduceus ok... 
  dassault_2.c... GCC ok... caduceus ok... 
  dowhile.c... GCC ok... caduceus ok... 
  enum.c... GCC ok... caduceus ok... 
  extern.c... GCC ok... caduceus ok... 
  fact.c... GCC ok... caduceus ok... 
  false.c... GCC ok... caduceus ok... 
  false2.c... GCC ok... caduceus ok... 
  flag.c... GCC ok... caduceus ok... 
  float.c... GCC ok... caduceus ok... 
  ghost.c... GCC ok... caduceus FAILED
  ghost2.c... GCC ok... caduceus ok... 
  goto.c... GCC ok... caduceus ok... 
  ifs.c... GCC ok... caduceus ok... 
  incr.c... GCC ok... caduceus ok... 
  init.c... GCC ok... caduceus ok... 
  init2.c... GCC ok... caduceus ok... 
  invariant.c... GCC ok... caduceus ok... 
  invariants.c... GCC ok... caduceus ok... 
  labels.c... GCC ok... caduceus ok... 
  latespec.c... GCC ok... caduceus ok... 
  local_aliasing.c... GCC ok... caduceus ok... 
  logic.c... GCC ok... caduceus ok... 
  logic_cast.c... GCC ok... caduceus ok... 
  loop_assigns.c... GCC ok... caduceus ok... 
  loop_inv.c... GCC ok... caduceus ok... 
  malloc.c... GCC ok... caduceus ok... 
  minusminus.c... GCC ok... caduceus ok... 
  muller.c... GCC ok... caduceus ok... 
  overflow.c... GCC ok... caduceus ok... 
  overflows.c... GCC ok... caduceus ok... 
  param.c... GCC ok... caduceus ok... 
  passing.c... GCC ok... caduceus ok... 
  pi.c... GCC ok... caduceus ok... 
  pointer.c... GCC ok... caduceus ok... 
  purse.c... GCC ok... caduceus ok... 
  queue.c... GCC ok... caduceus ok... 
  rec.c... GCC ok... caduceus ok... 
  rec2.c... GCC ok... caduceus ok... 
  ref.c... GCC ok... caduceus ok... 
  ref_glob.c... GCC ok... caduceus ok... 
  search.c... GCC ok... caduceus ok... 
  see.c... GCC ok... caduceus ok... 
  separation.c... GCC ok... caduceus ok... 
  separation1.c... GCC ok... caduceus ok... 
  separation2.c... GCC ok... caduceus ok... 
  separation3.c... GCC ok... caduceus ok... 
  separation4.c... GCC ok... caduceus ok... 
  shift.c... GCC ok... caduceus ok... 
  sizeof.c... GCC ok... caduceus ok... 
  skip_lists.c... GCC ok... caduceus FAILED
  sort.c... GCC ok... caduceus ok... 
  struct.c... GCC ok... caduceus ok... 
  struct2.c... GCC ok... caduceus ok... 
  struct3.c... GCC ok... caduceus ok... 
  struct4.c... GCC ok... caduceus ok... 
  sum1.c... GCC ok... caduceus ok... 
  sum2.c... GCC ok... caduceus ok... 
  switch.c... GCC ok... caduceus ok... 
  trop.c... GCC ok... caduceus ok... 
  unsafe.c... GCC ok... caduceus ok... 
  zones.c... GCC ok... caduceus ok... 
  zones2.c... GCC ok... caduceus ok... 
C interp (bad)
  eval1.c... GCC ok... caduceus ok... 
  eval2.c... GCC ok... caduceus ok... 
  eval3.c... GCC ok... caduceus ok... 
  eval4.c... GCC ok... caduceus ok... 
  eval5.c... GCC ok... caduceus ok... 
  eval6.c... GCC ok... caduceus ok... 
  eval7.c... GCC ok... caduceus ok... 
  eval8.c... GCC ok... caduceus ok... 
  eval9.c... GCC ok... caduceus ok... 
  goto1.c... GCC failed (accepted a bad file, maybe not detected)
caduceus FAILED (accepted a bad file)
  goto2.c... GCC failed (accepted a bad file, maybe not detected)
caduceus FAILED (accepted a bad file)
  switch1.c... GCC failed (accepted a bad file, maybe not detected)
caduceus FAILED (accepted a bad file)
  switch2.c... GCC failed (accepted a bad file, maybe not detected)
caduceus FAILED (accepted a bad file)
  switch3.c... GCC ok... caduceus ok... 
  switch4.c... GCC ok... caduceus ok... 
C interp (good)
-------------------------------------------------------------------
Bench Caduceus+Simplify/Yices with options:  -why-opt -split-user-conj 
  Generating VCs for false.c... ok
  Generating VCs for false2.c... ok
  Generating VCs for abs.c... ok
  Generating VCs for all.c... ok
  Generating VCs for minusminus.c... ok
  Generating VCs for array.c... ok
  Generating VCs for assigns.c... ok
  Generating VCs for loop_assigns.c... ok
  Generating VCs for break.c... ok
  Generating VCs for continue.c... ok
  Generating VCs for goto.c... ok
  Generating VCs for call.c... ok
  Generating VCs for clash.c... ok
  Generating VCs for clash_alloc.c... ok
  Generating VCs for clash_redef.c... ok
  Generating VCs for logic.c... ok
  Generating VCs for coord.c... ok
  Generating VCs for dassault_1.c... ok
  Generating VCs for dassault_2.c... ok
  Generating VCs for muller.c... ok
  Generating VCs for copy.c... ok
  Generating VCs for dowhile.c... ok
  Generating VCs for invariants.c... ok
  Generating VCs for latespec.c... ok
  Generating VCs for logic_cast.c... ok
  Generating VCs for param.c... ok
  Generating VCs for passing.c... ok
  Generating VCs for purse.c... ok
  Generating VCs for queue.c... ok
  Generating VCs for rec.c... ok
  Generating VCs for ref.c... ok
  Generating VCs for ref_glob.c... ok
  Generating VCs for search.c... ok
  Generating VCs for see.c... ok
  Generating VCs for sizeof.c... ok
  Generating VCs for alloca.c... ok
  Generating VCs for sort.c... ok
  Generating VCs for all_zeros.c... ok
  Generating VCs for malloc.c... ok
  Generating VCs for calloc.c... ok
  Generating VCs for pointer.c... ok
  Generating VCs for init.c... ok
  Generating VCs for struct.c... ok
  Generating VCs for struct2.c... ok
  Generating VCs for struct3.c... ok
  Generating VCs for switch.c... ok
  Generating VCs for enum.c... ok
  Generating VCs for sum1.c... ok
  Generating VCs for sum2.c... ok
  Generating VCs for separation1.c... ok
  Generating VCs for separation2.c... ok
  Generating VCs for separation3.c... ok
  Generating VCs for separation4.c... ok
  Generating VCs for ifs.c... ok
  Generating VCs for separation.c... ok
  Generating VCs for incr.c... ok
  Generating VCs for pi.c... ok
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/false_why.sx         : **#** (0/4/0/1/0)
smtlib/false_why.smt          : ?##?? (0/0/3/2/0)
simplify/false2_why.sx        : * (0/1/0/0/0)
smtlib/false2_why.smt         : ? (0/0/1/0/0)
simplify/abs_why.sx           : *.... (4/1/0/0/0)
smtlib/abs_why.smt            : ?.... (4/0/1/0/0)
simplify/all_why.sx           : .................... (20/0/0/0/0)
smtlib/all_why.smt            : .................... (20/0/0/0/0)
simplify/minusminus_why.sx    :  (0/0/0/0/0)
smtlib/minusminus_why.smt     :  (0/0/0/0/0)
simplify/array_why.sx         : . (1/0/0/0/0)
smtlib/array_why.smt          : . (1/0/0/0/0)
simplify/assigns_why.sx       : ........... (11/0/0/0/0)
smtlib/assigns_why.smt        : ........... (11/0/0/0/0)
simplify/loop_assigns_why.sx  : ........................ (24/0/0/0/0)
smtlib/loop_assigns_why.smt   : ........................ (24/0/0/0/0)
simplify/break_why.sx         : ................... (19/0/0/0/0)
smtlib/break_why.smt          : ................... (19/0/0/0/0)
simplify/continue_why.sx      : ......................... (25/0/0/0/0)
smtlib/continue_why.smt       : ......................... (25/0/0/0/0)
simplify/goto_why.sx          : ....... (7/0/0/0/0)
smtlib/goto_why.smt           : ....... (7/0/0/0/0)
simplify/call_why.sx          : ... (3/0/0/0/0)
smtlib/call_why.smt           : ... (3/0/0/0/0)
simplify/clash_why.sx         : .............. (14/0/0/0/0)
smtlib/clash_why.smt          : ...#.......... (13/0/0/1/0)
simplify/clash_alloc_why.sx   :  (0/0/0/0/0)
smtlib/clash_alloc_why.smt    :  (0/0/0/0/0)
simplify/clash_redef_why.sx   : . (1/0/0/0/0)
smtlib/clash_redef_why.smt    : . (1/0/0/0/0)
simplify/logic_why.sx         : ....... (7/0/0/0/0)
smtlib/logic_why.smt          : ....... (7/0/0/0/0)
simplify/coord_why.sx         : . (1/0/0/0/0)
smtlib/coord_why.smt          : . (1/0/0/0/0)
simplify/dassault_1_why.sx    : .... (4/0/0/0/0)
smtlib/dassault_1_why.smt     : .##. (2/0/0/2/0)
simplify/dassault_2_why.sx    :  (0/0/0/0/0)
smtlib/dassault_2_why.smt     :  (0/0/0/0/0)
simplify/muller_why.sx        : ............................#....*.......... (42/1/0/1/0)
smtlib/muller_why.smt         : ............................#....#.......... (42/0/0/2/0)
simplify/copy_why.sx          : .....*... (8/1/0/0/0)
smtlib/copy_why.smt           : .....#... (8/0/0/1/0)
simplify/dowhile_why.sx       : ........ (8/0/0/0/0)
smtlib/dowhile_why.smt        : ........ (8/0/0/0/0)
simplify/invariants_why.sx    : ............. (13/0/0/0/0)
smtlib/invariants_why.smt     : ............. (13/0/0/0/0)
simplify/latespec_why.sx      : . (1/0/0/0/0)
smtlib/latespec_why.smt       : . (1/0/0/0/0)
simplify/logic_cast_why.sx    : ....... (7/0/0/0/0)
smtlib/logic_cast_why.smt     : ....... (7/0/0/0/0)
simplify/param_why.sx         : . (1/0/0/0/0)
smtlib/param_why.smt          : . (1/0/0/0/0)
simplify/passing_why.sx       : ....... (7/0/0/0/0)
smtlib/passing_why.smt        : ....... (7/0/0/0/0)
simplify/purse_why.sx         : .................*................... (36/1/0/0/0)
smtlib/purse_why.smt          : .................##..#.#.##.#..#..... (29/0/0/8/0)
simplify/queue_why.sx         : ..................................................................................................*..... (103/1/0/0/0)
smtlib/queue_why.smt          : ........###.......###.......###.......###........####.......####.......####.......####............#..... (75/0/0/29/0)
simplify/rec_why.sx           : .. (2/0/0/0/0)
smtlib/rec_why.smt            : .. (2/0/0/0/0)
simplify/ref_why.sx           : ..... (5/0/0/0/0)
smtlib/ref_why.smt            : ..... (5/0/0/0/0)
simplify/ref_glob_why.sx      : ............. (13/0/0/0/0)
smtlib/ref_glob_why.smt       : ....#.#...... (11/0/0/2/0)
simplify/search_why.sx        : ..................... (21/0/0/0/0)
smtlib/search_why.smt         : ..................... (21/0/0/0/0)
simplify/see_why.sx           : ... (3/0/0/0/0)
smtlib/see_why.smt            : ... (3/0/0/0/0)
simplify/sizeof_why.sx        : ... (3/0/0/0/0)
smtlib/sizeof_why.smt         : ... (3/0/0/0/0)
simplify/alloca_why.sx        : ............... (15/0/0/0/0)
smtlib/alloca_why.smt         : ............... (15/0/0/0/0)
simplify/sort_why.sx          : ......................................................................................................................................................................................................................................................................................................................................................................................... (377/0/0/0/0)
smtlib/sort_why.smt           : .....................................................................................#.....#.....#.....#..#.#............................................................................................................................................................................................................................................................................ (371/0/0/6/0)
simplify/all_zeros_why.sx     : .*.......................... (27/1/0/0/0)
smtlib/all_zeros_why.smt      : .?.......................... (27/0/1/0/0)
simplify/malloc_why.sx        : .................... (20/0/0/0/0)
smtlib/malloc_why.smt         : .................... (20/0/0/0/0)
simplify/calloc_why.sx        : .................... (20/0/0/0/0)
smtlib/calloc_why.smt         : .................... (20/0/0/0/0)
simplify/pointer_why.sx       : ............ (12/0/0/0/0)
smtlib/pointer_why.smt        : ............ (12/0/0/0/0)
simplify/init_why.sx          : .................... (20/0/0/0/0)
smtlib/init_why.smt           : .#.................. (19/0/0/1/0)
simplify/struct_why.sx        : ......... (9/0/0/0/0)
smtlib/struct_why.smt         : .......#. (8/0/0/1/0)
simplify/struct2_why.sx       : ... (3/0/0/0/0)
smtlib/struct2_why.smt        : .#. (2/0/0/1/0)
simplify/struct3_why.sx       : ..... (5/0/0/0/0)
smtlib/struct3_why.smt        : ...?. (4/0/1/0/0)
simplify/switch_why.sx        : ............................................................................................................................................ (140/0/0/0/0)
smtlib/switch_why.smt         : ............................................................................................................................................ (140/0/0/0/0)
simplify/enum_why.sx          : ...**..* (5/3/0/0/0)
smtlib/enum_why.smt           : ...??..# (5/0/2/1/0)
simplify/sum1_why.sx          : ....... (7/0/0/0/0)
smtlib/sum1_why.smt           : ....... (7/0/0/0/0)
simplify/sum2_why.sx          : ...#.......*.#..#...# (16/1/0/4/0)
smtlib/sum2_why.smt           : ...........?....#...# (18/0/1/2/0)
simplify/separation1_why.sx   : .....* (5/1/0/0/0)
smtlib/separation1_why.smt    : .....# (5/0/0/1/0)
simplify/separation2_why.sx   : ...#.....#.....#........#.##### (22/0/0/9/0)
smtlib/separation2_why.smt    : .#####.#####.#####.####.#.##### (6/0/0/25/0)
simplify/separation3_why.sx   : .....* (5/1/0/0/0)
smtlib/separation3_why.smt    : .###.# (2/0/0/4/0)
simplify/separation4_why.sx   : .. (2/0/0/0/0)
smtlib/separation4_why.smt    : .. (2/0/0/0/0)
simplify/ifs_why.sx           : ...................................................................................... (86/0/0/0/0)
smtlib/ifs_why.smt            : ...................................................................................... (86/0/0/0/0)
simplify/separation_why.sx    : .................###..#. (20/0/0/4/0)
smtlib/separation_why.smt     : ..###............###..#. (17/0/0/7/0)
simplify/incr_why.sx          : .. (2/0/0/0/0)
smtlib/incr_why.smt           : .. (2/0/0/0/0)
simplify/pi_why.sx            : .................................... (36/0/0/0/0)
smtlib/pi_why.smt             : ..................????????????.????? (19/0/17/0/0)
total   : 2608
valid   : 2449 ( 94%)
invalid :  17 (  1%)
unknown :  27 (  1%)
timeout : 115 (  4%)
failure :   0 (  0%)
total wallclock time : 48 m 08 sec
total CPU time       : 45 m 46 sec
valid VCs:
    average CPU time : 0.17
    max CPU time     : 6.81
invalid VCs:
    average CPU time : 0.77
    max CPU time     : 10.60
unknown VCs:
    average CPU time : 1.59
    max CPU time     : 12.11
-------------------------------------------------------------------
Bench Caduceus+Simplify/Yices with options: -separation -why-opt -split-user-conj 
  Generating VCs for false.c... ok
  Generating VCs for false2.c... ok
  Generating VCs for abs.c... ok
  Generating VCs for all.c... ok
  Generating VCs for minusminus.c... ok
  Generating VCs for array.c... ok
  Generating VCs for assigns.c... ok
  Generating VCs for loop_assigns.c... ok
  Generating VCs for break.c... ok
  Generating VCs for continue.c... ok
  Generating VCs for goto.c... ok
  Generating VCs for call.c... ok
  Generating VCs for clash.c... ok
  Generating VCs for clash_alloc.c... ok
  Generating VCs for clash_redef.c... ok
  Generating VCs for logic.c... ok
  Generating VCs for coord.c... ok
  Generating VCs for dassault_1.c... ok
  Generating VCs for dassault_2.c... ok
  Generating VCs for muller.c... ok
  Generating VCs for copy.c... ok
  Generating VCs for dowhile.c... ok
  Generating VCs for invariants.c... ok
  Generating VCs for latespec.c... ok
  Generating VCs for logic_cast.c... ok
  Generating VCs for param.c... ok
  Generating VCs for passing.c... ok
  Generating VCs for purse.c... ok
  Generating VCs for queue.c... ok
  Generating VCs for rec.c... ok
  Generating VCs for ref.c... ok
  Generating VCs for ref_glob.c... ok
  Generating VCs for search.c... ok
  Generating VCs for see.c... ok
  Generating VCs for sizeof.c... ok
  Generating VCs for alloca.c... ok
  Generating VCs for sort.c... ok
  Generating VCs for all_zeros.c... ok
  Generating VCs for malloc.c... ok
  Generating VCs for calloc.c... ok
  Generating VCs for pointer.c... ok
  Generating VCs for init.c... ok
  Generating VCs for struct.c... ok
  Generating VCs for struct2.c... ok
  Generating VCs for struct3.c... ok
  Generating VCs for switch.c... ok
  Generating VCs for enum.c... ok
  Generating VCs for sum1.c... ok
  Generating VCs for sum2.c... ok
  Generating VCs for separation1.c... ok
  Generating VCs for separation2.c... ok
  Generating VCs for separation3.c... ok
  Generating VCs for separation4.c... ok
  Generating VCs for ifs.c... ok
  Generating VCs for separation.c... ok
  Generating VCs for incr.c... ok
  Generating VCs for pi.c... ok
(. = valid * = invalid ? = unknown # = timeout ! = failure)
simplify/false_why.sx         : **#** (0/4/0/1/0)
smtlib/false_why.smt          : ?##?? (0/0/3/2/0)
simplify/false2_why.sx        : * (0/1/0/0/0)
smtlib/false2_why.smt         : ? (0/0/1/0/0)
simplify/abs_why.sx           : *.... (4/1/0/0/0)
smtlib/abs_why.smt            : !!!!! (0/0/0/0/5)
simplify/all_why.sx           : .................... (20/0/0/0/0)
smtlib/all_why.smt            : .................... (20/0/0/0/0)
simplify/minusminus_why.sx    :  (0/0/0/0/0)
smtlib/minusminus_why.smt     :  (0/0/0/0/0)
simplify/array_why.sx         : . (1/0/0/0/0)
smtlib/array_why.smt          : . (1/0/0/0/0)
simplify/assigns_why.sx       : ........... (11/0/0/0/0)
smtlib/assigns_why.smt        : !!!!!!!!!!! (0/0/0/0/11)
simplify/loop_assigns_why.sx  : ........................ (24/0/0/0/0)
smtlib/loop_assigns_why.smt   : ........................ (24/0/0/0/0)
simplify/break_why.sx         : ................... (19/0/0/0/0)
smtlib/break_why.smt          : ................... (19/0/0/0/0)
simplify/continue_why.sx      : ......................... (25/0/0/0/0)
smtlib/continue_why.smt       : ......................... (25/0/0/0/0)
simplify/goto_why.sx          : ....... (7/0/0/0/0)
smtlib/goto_why.smt           : ....... (7/0/0/0/0)
simplify/call_why.sx          : ... (3/0/0/0/0)
smtlib/call_why.smt           : ... (3/0/0/0/0)
simplify/clash_why.sx         : ............... (15/0/0/0/0)
smtlib/clash_why.smt          : !!!!!.......... (10/0/0/0/5)
simplify/clash_alloc_why.sx   :  (0/0/0/0/0)
smtlib/clash_alloc_why.smt    :  (0/0/0/0/0)
simplify/clash_redef_why.sx   : . (1/0/0/0/0)
smtlib/clash_redef_why.smt    : ! (0/0/0/0/1)
simplify/logic_why.sx         : ....... (7/0/0/0/0)
smtlib/logic_why.smt          : .!..!.! (4/0/0/0/3)
simplify/coord_why.sx         : . (1/0/0/0/0)
smtlib/coord_why.smt          : . (1/0/0/0/0)
simplify/dassault_1_why.sx    : ... (3/0/0/0/0)
smtlib/dassault_1_why.smt     : ... (3/0/0/0/0)
simplify/dassault_2_why.sx    :  (0/0/0/0/0)
smtlib/dassault_2_why.smt     :  (0/0/0/0/0)
simplify/muller_why.sx        : ............................................ (44/0/0/0/0)
smtlib/muller_why.smt         : !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (0/0/0/0/44)
simplify/copy_why.sx          : ......... (9/0/0/0/0)
smtlib/copy_why.smt           : !!!!!!!!! (0/0/0/0/9)
simplify/dowhile_why.sx       : ........ (8/0/0/0/0)
smtlib/dowhile_why.smt        : ........ (8/0/0/0/0)
simplify/invariants_why.sx    : ............. (13/0/0/0/0)
smtlib/invariants_why.smt     : ............. (13/0/0/0/0)
simplify/latespec_why.sx      : . (1/0/0/0/0)
smtlib/latespec_why.smt       : ! (0/0/0/0/1)
simplify/logic_cast_why.sx    : ....... (7/0/0/0/0)
smtlib/logic_cast_why.smt     : ....... (7/0/0/0/0)
simplify/param_why.sx         : . (1/0/0/0/0)
smtlib/param_why.smt          : . (1/0/0/0/0)
simplify/passing_why.sx       : ....... (7/0/0/0/0)
smtlib/passing_why.smt        : !!!.!!. (2/0/0/0/5)
simplify/purse_why.sx         : ..................................... (37/0/0/0/0)
smtlib/purse_why.smt          : !!!!!!!!.!!!!!!!!!!!!!!!!!!!!!!!!!!!! (1/0/0/0/36)
simplify/queue_why.sx         : ........................................................................................................ (104/0/0/0/0)
smtlib/queue_why.smt          : ........###.......###.......###.......###........##.#.......##.#.......##.#.......##.#.....!!!!!!!!!!!!! (67/0/0/24/13)
simplify/rec_why.sx           : .. (2/0/0/0/0)
smtlib/rec_why.smt            : .. (2/0/0/0/0)
simplify/ref_why.sx           : ..... (5/0/0/0/0)
smtlib/ref_why.smt            : .!!!! (1/0/0/0/4)
simplify/ref_glob_why.sx      : .............. (14/0/0/0/0)
smtlib/ref_glob_why.smt       : ........!!!!!! (8/0/0/0/6)
simplify/search_why.sx        : ..................... (21/0/0/0/0)
smtlib/search_why.smt         : !!!!!!!!!!!!!!!!!!!!. (1/0/0/0/20)
simplify/see_why.sx           : ... (3/0/0/0/0)
smtlib/see_why.smt            : ... (3/0/0/0/0)
simplify/sizeof_why.sx        : ... (3/0/0/0/0)
smtlib/sizeof_why.smt         : ... (3/0/0/0/0)
simplify/alloca_why.sx        : ............... (15/0/0/0/0)
smtlib/alloca_why.smt         : .!!.!!.!.!!.!!! (5/0/0/0/10)
simplify/sort_why.sx          : ......................................................................................................................................................................................................................................................................................................................................................................................... (377/0/0/0/0)
smtlib/sort_why.smt           : ............................................................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (76/0/0/0/301)
simplify/all_zeros_why.sx     : .*.......................... (27/1/0/0/0)
smtlib/all_zeros_why.smt      : !!!!!!!!!!!!!!!!!!!!!!!!!!!! (0/0/0/0/28)
simplify/malloc_why.sx        : .................... (20/0/0/0/0)
smtlib/malloc_why.smt         : .!!!!!.!!!!!!!!!!!!! (2/0/0/0/18)
simplify/calloc_why.sx        : .................... (20/0/0/0/0)
smtlib/calloc_why.smt         : .!!!!!.!!!!!!!!!!!!! (2/0/0/0/18)
simplify/pointer_why.sx       : ............ (12/0/0/0/0)
smtlib/pointer_why.smt        : ..!!!!!..!.. (6/0/0/0/6)
simplify/init_why.sx          : .............. (14/0/0/0/0)
smtlib/init_why.smt           : .#.....!.!!... (10/0/0/1/3)
simplify/struct_why.sx        : ......... (9/0/0/0/0)
smtlib/struct_why.smt         : !!!!!.... (4/0/0/0/5)
simplify/struct2_why.sx       : ... (3/0/0/0/0)
smtlib/struct2_why.smt        : ... (3/0/0/0/0)
simplify/struct3_why.sx       : ..... (5/0/0/0/0)
smtlib/struct3_why.smt        : .!!!! (1/0/0/0/4)
simplify/switch_why.sx        : ............................................................................................................................................ (140/0/0/0/0)
smtlib/switch_why.smt         : ............................................................................................................................................ (140/0/0/0/0)
simplify/enum_why.sx          : ...**..* (5/3/0/0/0)
smtlib/enum_why.smt           : !!.??!!! (1/0/2/0/5)
simplify/sum1_why.sx          : ....... (7/0/0/0/0)
smtlib/sum1_why.smt           : ....... (7/0/0/0/0)
simplify/sum2_why.sx          : ...#.......*.#..#...# (16/1/0/4/0)
smtlib/sum2_why.smt           : !!!!!!!!!!!!!!!!!!!!! (0/0/0/0/21)
simplify/separation1_why.sx   : .... (4/0/0/0/0)
smtlib/separation1_why.smt    : !!.. (2/0/0/0/2)
simplify/separation2_why.sx   : ...#.....#.....#........#.#... (25/0/0/5/0)
smtlib/separation2_why.smt    : ...###...###...###...##.#.#... (17/0/0/13/0)
simplify/separation3_why.sx   : ...... (6/0/0/0/0)
smtlib/separation3_why.smt    : ...... (6/0/0/0/0)
simplify/separation4_why.sx   : .. (2/0/0/0/0)
smtlib/separation4_why.smt    : .. (2/0/0/0/0)
simplify/ifs_why.sx           : ...................................................................................... (86/0/0/0/0)
smtlib/ifs_why.smt            : !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (0/0/0/0/86)
simplify/separation_why.sx    : ......................................................... (57/0/0/0/0)
smtlib/separation_why.smt     : ......................................................... (57/0/0/0/0)
simplify/incr_why.sx          : .. (2/0/0/0/0)
smtlib/incr_why.smt           : .. (2/0/0/0/0)
simplify/pi_why.sx            : .................................... (36/0/0/0/0)
smtlib/pi_why.smt             : ..................????????????.????? (19/0/17/0/0)
total   : 1988
valid   : 1904 ( 72%)
invalid :  11 (  0%)
unknown :  23 (  1%)
timeout :  50 (  2%)
failure : 670 ( 25%)
total wallclock time : 23 m 18 sec
total CPU time       : 21 m 59 sec
valid VCs:
    average CPU time : 0.16
    max CPU time     : 11.58
invalid VCs:
    average CPU time : 0.04
    max CPU time     : 0.08
unknown VCs:
    average CPU time : 1.15
    max CPU time     : 12.20
make[1]: Entering directory `/home/marche/why/examples-c'
make -C tutorial allcoq
make[2]: Entering directory `/home/marche/why/examples-c/tutorial'
for f in max abs swap search purse ; do \
	  caduceus $f.c; \
	  rm -f coq/caduceus_spec_why.v; \
	  make -f $f.makefile depend; \
	  make -f $f.makefile coq; \
	done
generating Why code for function max
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqdep -I `coqc -where`/user-contrib -I coq coq/max*_why.v > max.depend
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
coqc -I coq coq/max_spec_why.v
coqc -I coq coq/max_why.v
make[3]: Leaving directory `/home/marche/why/examples-c/tutorial'
abs.c:10: warning: function abs2 has side-effects but no 'assigns' clause given
generating Why code for function abs1
generating Why code for function abs2
make[3]: Entering directory `/home/marche/why/examples-c/tutorial'
